original,standardized
Andaman & Nicobar Islands,Andaman and Nicobar Islands
Dadra & Nagar Haveli,Dadra and Nagar Haveli and Daman and Diu
Dadra and Nagar Haveli,Dadra and Nagar Haveli and Daman and Diu
Daman & Diu,Dadra and Nagar Haveli and Daman and Diu
Daman and Diu,Dadra and Nagar Haveli and Daman and Diu
Orissa,Odisha
Pondicherry,Puducherry
Jammu & Kashmir,Jammu and Kashmir
WESTBENGAL,West Bengal
West  Bengal,West Bengal
Westbengal,West Bengal
andhra pradesh,Andhra Pradesh
ODISHA,Odisha
WEST BENGAL,West Bengal
West Bangal,West Bengal
odisha,Odisha
West bengal,West Bengal
west Bengal,West Bengal
Uttaranchal,Uttarakhand
Chhatisgarh,Chhattisgarh
Tamilnadu,Tamil Nadu
West Bengli,West Bengal
Jaipur,Manipur
The Dadra And Nagar Haveli And Daman And Diu,Dadra and Nagar Haveli and Daman and Diu
Jammu And Kashmir,Jammu and Kashmir
